,gender_F,gender_M,ssc_b_Central,ssc_b_Others,hsc_b_Central,hsc_b_Others,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,workex_No,workex_Yes,specialisation_Mkt&Fin,specialisation_Mkt&HR,ssc_p,hsc_p,degree_p,etest_p,mba_p
147,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.26072929586899,0.6941202141987816,-0.16676781914947333,0.7786466602676964,0.0007886930859524025
161,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.065759047101481,-1.4054306336457165,-1.1921264136055145,-1.1234709760682473,0.0744779433880736
169,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.6641278543687551,-2.212388437773776,-0.6780799715848862,-1.359642460280239,0.536710513465019
131,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7121038014631093,-0.857721716816717,-0.5769112569318898,0.553721437208657,-0.2504246602167348
27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3840914264083224,0.05512647789828216,-0.030053339888667846,-0.345979455027501,-0.7679241680202711
108,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5683259184875545,1.424398769970781,0.38009009789374865,0.8536217346207096,-0.6640893153218262
105,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.7525604105667866,-0.2187279805162176,-1.123769173975112,0.9285968089737227,-1.1681907776158862
200,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16861204982937397,-0.5838672584022173,-0.16676781914947333,1.119783248573906,-1.585204944098346
122,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.06168106526966618,0.03686951400398192,0.4211044416719899,0.5837114669498626,1.461175653618907
202,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.26072929586899,-0.3100127999877175,-0.030053339888667846,-0.8498119546797493,-0.36263329135860206
36,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.489498378883715,-2.044424369946216,-1.2604836532359174,-0.6458797524395536,-1.8129717177594489
81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.3385010745324981,-0.3100127999877175,0.10666113937213766,1.003571883326736,1.3271951985241413
110,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.214670672849182,0.3289809363127819,0.7902335356761652,-1.155710258040043,-1.251928562050115
142,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.642487986463231,-0.5838672584022173,0.9857352410191179,-0.9457800498516062,-0.1650121200938215
208,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.2264363472006434,-0.5838672584022173,-0.16676781914947333,1.5029058785178033,0.10797305716176571
177,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5370810339878382,2.7936710620432796,1.7472348905018036,1.2284971063857753,1.4293552955339006
191,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01562244224985815,-0.49258243893071735,0.7902335356761652,-0.046079157615448355,-0.21190527937698997
198,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.01562244224985815,0.3289809363127819,-0.16676781914947333,1.1535220320327622,1.621952199732626
189,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.213146640764867,1.022745564296181,0.40743299374591013,1.7270813508333134,0.7812248440129668
5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.1210293947252508,-1.5149724170115169,0.14083975918733901,-1.3206554216166722,-1.79119989380655
109,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.397381132844099,-0.3100127999877175,-0.16676781914947333,1.003571883326736,-1.035885078209803
37,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0897845102255346,0.8766898531417815,-0.08473913159299082,-1.0957301985576327,-1.139719930908248
146,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.47620867244793846,-0.3100127999877175,-0.030053339888667846,0.9285968089737227,-1.1949868686348388
120,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.8446776566064027,-2.4095636478322158,-0.9870546947143064,0.0288959167375648,-0.5803515308875972
187,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0437258872057265,-0.08180075130896773,0.10666113937213766,1.6783475525038543,0.43287566076657413
86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.47620867244793846,-0.3100127999877175,-0.30348229841027885,-0.42095452938051414,-0.8784580434734528
38,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5370810339878382,-0.7664368973452171,-0.030053339888667846,-1.4181230182755888,-0.906928890181091
17,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.1210293947252508,0.05512647789828216,-0.30348229841027885,-0.9457800498516062,0.8381665374282431
151,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.19985693432909027,-0.12744316104471767,1.2003769734585816,0.7786466602676964,-0.5703029967554905
