,status
147,1
161,0
169,0
131,1
27,1
108,1
105,0
200,1
122,1
202,1
36,0
81,1
110,1
142,1
208,0
177,1
191,1
198,0
189,0
5,0
109,0
37,1
146,1
120,0
187,1
86,1
38,1
17,0
151,1
171,1
88,1
93,0
199,1
192,1
118,1
9,0
61,1
78,1
95,1
165,0
72,1
2,1
180,1
39,1
209,1
139,1
97,0
135,1
174,1
154,1
79,0
129,1
106,0
163,1
94,1
4,1
40,1
7,1
159,0
25,0
123,1
126,1
33,1
153,1
53,1
184,0
30,1
155,0
164,1
144,0
130,0
203,1
201,0
28,1
182,0
67,1
98,1
29,0
149,0
210,1
62,1
96,1
205,1
179,0
119,1
58,1
57,1
41,0
140,1
143,1
65,0
91,0
49,0
52,0
80,1
23,1
133,1
172,1
85,1
168,0
83,1
162,1
14,0
99,0
73,1
181,0
3,0
156,1
15,1
167,0
128,1
170,0
26,1
77,1
214,0
74,1
47,1
56,1
44,1
18,0
197,1
100,0
20,1
107,1
183,1
112,1
48,1
1,1
137,1
213,1
32,1
8,1
195,1
141,0
121,1
114,1
193,1
206,0
45,0
158,0
212,1
46,0
138,1
145,1
101,1
19,1
50,1
194,0
115,1
34,0
127,1
82,0
43,1
134,1
24,1
87,0
55,1
6,0
71,1
10,1
103,1
150,1
113,1
104,1
69,1
12,0
204,1
90,1
84,1
166,1
160,1
196,1
