label,label_name,text,text_clean
0,ham,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""",getting tickets num walsall tue num th march my mate is getting me them on sat ill pay my treat want num go txt bak terry
0,ham,What's nannys address?,what s nannys address
0,ham,But pls dont play in others life.,but pls dont play in others life
0,ham,If you are not coughing then its nothing,if you are not coughing then its nothing
0,ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,then just eat a shit and wait for ur monkey face bitch u asshole
0,ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",nothing smsing u n xy lor sorry lor da guys neva c u in person but they sort of know u lor so u wan num meet them xy ask me num bring u along num our next meeting
0,ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",lol grins i m not babe but thanks for thinking of me
0,ham,S..antha num corrct dane,s antha num corrct dane
0,ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",oh really perform write a paper go to a movie and be home by midnight huh
0,ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",i m eatin now lor but goin back to work soon e mountain deer show huh i watch b4 liao very nice
1,spam,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,xmas iscoming ur awarded either å num cd gift vouchers free entry num r å num weekly draw txt music to num tnc url
0,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",hmmm thk sure got time to hop ard ya can go num free abt muz call u to discuss liao
0,ham,K.k:)apo k.good movie.,k k apo k good movie
0,ham,I cant pick the phone right now. Pls send a message,i cant pick the phone right now pls send a message
1,spam,Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,phony å num award todays voda numbers ending xxxx are selected to receive a å num award if you have a match please call num quoting claim code num standard rates app
0,ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?""",oh shit i thought that was your trip loooooool that just makes so much more sense now grins and the sofa reference was the sleep on a couch link you sent me wasn t that how you went on your trip oh and didn t your babe go with you for that celebration with your rents
1,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,do you want a new nokia 3510i colour phone deliveredtomorrow with num free minutes to any mobile num free texts free camcorder reply or call num
0,ham,"Cool, text me when you're ready",cool text me when you re ready
0,ham,Oh:)as usual vijay film or its different?,oh as usual vijay film or its different
0,ham,Gudnite....tc...practice going on,gudnite tc practice going on
0,ham,Am I the only one who doesn't stalk profiles?,am i the only one who doesn t stalk profiles
0,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",num that call cost which i guess isnt bad miss ya need ya want ya love ya
0,ham,"\Pete can you please ring meive hardly gotany credit\""""",pete can you please ring meive hardly gotany credit
0,ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,nutter cutter ctter cttergg cttargg ctargg ctagg ie you
0,ham,You should get more chicken broth if you want ramen unless there's some I don't know about,you should get more chicken broth if you want ramen unless there s some i don t know about
0,ham,I can send you a pic if you like :),i can send you a pic if you like
1,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,okmail dear dave this is your final notice to collect your num tenerife holiday or num cash award call num from landline tcs sae box326 cw25wx 150ppm
1,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",shop till u drop is it you either 10k 5k å num cash or å num travel voucher call now num ntt po box cr01327bt fixedline cost 150ppm mobile vary
0,ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",set a place for me in your heart and not in your mind as the mind easily forgets but the heart will always remember wish you happy valentines day
0,ham,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,can i meet ì_ at num as num where depends on where ì_ wan num in lor
0,ham,Thanx 4 sending me home...,thanx num sending me home
0,ham,Wat's my dear doing? Sleeping ah?,wat s my dear doing sleeping ah
1,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,you have been specially selected to receive a num pound award call num before the lines close cost 10ppm num t cs apply ag promo
0,ham,"Yep, by the pretty sculpture",yep by the pretty sculpture
0,ham,Ill call you evening ill some ideas.,ill call you evening ill some ideas
1,spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50",oh my god i ve found your number again i m so glad text me back xafter this msgs cst std ntwk chg å num
0,ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,thing r good thanx got exams in march ive done no revision is fran still with boyf ive gotta interviw num exeter bit worried x
